#      x          Cp  
     1.00000    0.19175
     0.99168    0.17585
     0.98036    0.15273
     0.96726    0.12512
     0.95271    0.09078
     0.93719    0.04687
     0.92111   -0.00838
     0.90473   -0.06832
     0.88820   -0.07191
     0.87159   -0.07541
     0.85494   -0.07893
     0.83826   -0.08256
     0.82157   -0.08635
     0.80487   -0.09037
     0.78817   -0.09465
     0.77146   -0.09923
     0.75474   -0.10416
     0.73803   -0.10944
     0.72131   -0.11504
     0.70459   -0.12098
     0.68788   -0.12729
     0.67117   -0.13401
     0.65446   -0.14114
     0.63776   -0.14867
     0.62107   -0.15656
     0.60439   -0.16478
     0.58771   -0.17328
     0.57105   -0.18201
     0.55440   -0.19095
     0.53777   -0.20005
     0.52115   -0.20928
     0.50455   -0.21861
     0.48797   -0.22804
     0.47142   -0.23753
     0.45488   -0.24707
     0.43838   -0.25666
     0.42190   -0.26628
     0.40545   -0.27591
     0.38904   -0.28554
     0.37267   -0.29515
     0.35634   -0.30472
     0.34005   -0.31423
     0.32382   -0.32366
     0.30764   -0.33297
     0.29153   -0.34213
     0.27549   -0.35110
     0.25952   -0.35983
     0.24364   -0.36826
     0.22787   -0.37631
     0.21221   -0.38392
     0.19669   -0.39098
     0.18133   -0.39736
     0.16617   -0.40292
     0.15126   -0.40746
     0.13665   -0.41075
     0.12244   -0.41249
     0.10875   -0.41231
     0.09574   -0.40980
     0.08357   -0.40450
     0.07241   -0.39597
     0.06239   -0.38385
     0.05353   -0.36782
     0.04580   -0.34763
     0.03910   -0.32296
     0.03329   -0.29340
     0.02825   -0.25840
     0.02387   -0.21722
     0.02003   -0.16889
     0.01666   -0.11223
     0.01369   -0.04589
     0.01108    0.03166
     0.00879    0.12191
     0.00678    0.22597
     0.00505    0.34397
     0.00358    0.47402
     0.00236    0.61091
     0.00140    0.74511
     0.00070    0.86290
     0.00024    0.94972
     0.00003    0.99449
     0.00003    0.99449
     0.00024    0.94972
     0.00070    0.86290
     0.00140    0.74511
     0.00236    0.61091
     0.00358    0.47402
     0.00505    0.34397
     0.00678    0.22597
     0.00879    0.12191
     0.01108    0.03166
     0.01369   -0.04589
     0.01666   -0.11223
     0.02003   -0.16889
     0.02387   -0.21722
     0.02825   -0.25840
     0.03329   -0.29340
     0.03910   -0.32296
     0.04580   -0.34763
     0.05353   -0.36782
     0.06239   -0.38385
     0.07241   -0.39597
     0.08357   -0.40450
     0.09574   -0.40980
     0.10875   -0.41231
     0.12244   -0.41249
     0.13665   -0.41075
     0.15126   -0.40746
     0.16617   -0.40292
     0.18133   -0.39736
     0.19669   -0.39098
     0.21221   -0.38392
     0.22787   -0.37631
     0.24364   -0.36826
     0.25952   -0.35983
     0.27549   -0.35110
     0.29153   -0.34213
     0.30764   -0.33297
     0.32382   -0.32366
     0.34005   -0.31423
     0.35634   -0.30472
     0.37267   -0.29515
     0.38904   -0.28554
     0.40545   -0.27591
     0.42190   -0.26628
     0.43838   -0.25666
     0.45488   -0.24707
     0.47142   -0.23753
     0.48797   -0.22804
     0.50455   -0.21861
     0.52115   -0.20928
     0.53777   -0.20005
     0.55440   -0.19095
     0.57105   -0.18201
     0.58771   -0.17328
     0.60439   -0.16478
     0.62107   -0.15656
     0.63776   -0.14867
     0.65446   -0.14114
     0.67117   -0.13401
     0.68788   -0.12729
     0.70459   -0.12098
     0.72131   -0.11504
     0.73803   -0.10944
     0.75474   -0.10416
     0.77146   -0.09923
     0.78817   -0.09465
     0.80487   -0.09037
     0.82157   -0.08635
     0.83826   -0.08256
     0.85494   -0.07893
     0.87159   -0.07541
     0.88820   -0.07191
     0.90473   -0.06832
     0.92111   -0.00838
     0.93719    0.04687
     0.95271    0.09078
     0.96726    0.12512
     0.98036    0.15273
     0.99168    0.17585
     1.00000    0.19175
