#      x          Cp  
     1.00000    0.11774
     0.99180    0.10985
     0.98067    0.09794
     0.96782    0.08275
     0.95357    0.06433
     0.93838    0.04317
     0.92265    0.01987
     0.90663   -0.00495
     0.89046   -0.03080
     0.87420   -0.05727
     0.85789   -0.08405
     0.84156   -0.11092
     0.82521   -0.13771
     0.80884   -0.16431
     0.79246   -0.19066
     0.77607   -0.21674
     0.75967   -0.24254
     0.74326   -0.26808
     0.72685   -0.29339
     0.71043   -0.31852
     0.69401   -0.34351
     0.67759   -0.36840
     0.66117   -0.39327
     0.64475   -0.41816
     0.62833   -0.44312
     0.61192   -0.46821
     0.59551   -0.49348
     0.57911   -0.51900
     0.56271   -0.54482
     0.54633   -0.57101
     0.52996   -0.59763
     0.51360   -0.62475
     0.49726   -0.65245
     0.48094   -0.68083
     0.46464   -0.71001
     0.44836   -0.74014
     0.43213   -0.77146
     0.41594   -0.80414
     0.39984   -0.83979
     0.38386   -0.87581
     0.36796   -0.91007
     0.35212   -0.94384
     0.33634   -0.97735
     0.32061   -1.01093
     0.30494   -1.04370
     0.28933   -1.07635
     0.27379   -1.10933
     0.25833   -1.14170
     0.24295   -1.17271
     0.22767   -1.20276
     0.21251   -1.23482
     0.19747   -1.28088
     0.18258   -1.37035
     0.16788   -1.52045
     0.15338   -1.58824
     0.13916   -1.63179
     0.12527   -1.67832
     0.11181   -1.72882
     0.09891   -1.78435
     0.08670   -1.84588
     0.07535   -1.91392
     0.06501   -1.98862
     0.05576   -2.06969
     0.04762   -2.15646
     0.04054   -2.24806
     0.03441   -2.34358
     0.02912   -2.44212
     0.02453   -2.54283
     0.02055   -2.64469
     0.01707   -2.74637
     0.01404   -2.84591
     0.01138   -2.94035
     0.00906   -3.02526
     0.00704   -3.09411
     0.00530   -3.13756
     0.00381   -3.14293
     0.00258   -3.09430
     0.00159   -2.97420
     0.00084   -2.76791
     0.00034   -2.47032
     0.00006   -2.09455
     0.00001   -1.67563
     0.00016   -1.22052
     0.00056   -0.73940
     0.00122   -0.27679
     0.00215    0.12698
     0.00334    0.44813
     0.00480    0.68191
     0.00653    0.83915
     0.00853    0.93438
     0.01081    0.98389
     0.01339    0.99981
     0.01631    0.99248
     0.01960    0.96865
     0.02333    0.93410
     0.02758    0.89151
     0.03242    0.84435
     0.03799    0.79364
     0.04441    0.74140
     0.05182    0.68851
     0.06037    0.63632
     0.07015    0.58600
     0.08116    0.53871
     0.09331    0.49543
     0.10646    0.45670
     0.12040    0.42265
     0.13494    0.39303
     0.14996    0.36742
     0.16532    0.34529
     0.18095    0.32615
     0.19680    0.30953
     0.21282    0.29504
     0.22899    0.28235
     0.24528    0.27115
     0.26168    0.26120
     0.27817    0.25229
     0.29474    0.24422
     0.31139    0.23683
     0.32810    0.22996
     0.34486    0.22346
     0.36167    0.21715
     0.37851    0.21086
     0.39536    0.20420
     0.41215    0.19711
     0.42890    0.19112
     0.44566    0.18587
     0.46244    0.18128
     0.47923    0.17720
     0.49605    0.17355
     0.51289    0.17025
     0.52976    0.16723
     0.54664    0.16443
     0.56354    0.16183
     0.58046    0.15938
     0.59740    0.15706
     0.61435    0.15483
     0.63131    0.15269
     0.64828    0.15062
     0.66527    0.14859
     0.68226    0.14661
     0.69926    0.14466
     0.71626    0.14273
     0.73327    0.14083
     0.75028    0.13894
     0.76730    0.13708
     0.78431    0.13523
     0.80132    0.13342
     0.81833    0.13164
     0.83534    0.12991
     0.85233    0.12825
     0.86931    0.12667
     0.88624    0.12521
     0.90311    0.12391
     0.91982    0.12280
     0.93623    0.12195
     0.95206    0.12142
     0.96689    0.12126
     0.98019    0.12126
     0.99163    0.12194
     1.00000    0.11774
