#      x          Cp  
     1.00000    0.51107
     0.99009    0.30653
     0.97736    0.24279
     0.96321    0.18957
     0.94769    0.14764
     0.93093    0.11142
     0.91315    0.07941
     0.89457    0.05060
     0.87542    0.02434
     0.85587    0.00014
     0.83605   -0.02237
     0.81604   -0.04351
     0.79592   -0.06356
     0.77571   -0.08273
     0.75547   -0.10120
     0.73519   -0.11912
     0.71491   -0.13663
     0.69463   -0.15382
     0.67436   -0.17078
     0.65410   -0.18760
     0.63388   -0.20434
     0.61369   -0.22103
     0.59354   -0.23773
     0.57345   -0.25447
     0.55341   -0.27126
     0.53343   -0.28813
     0.51353   -0.30509
     0.49371   -0.32212
     0.47398   -0.33923
     0.45435   -0.35639
     0.43483   -0.37358
     0.41544   -0.39077
     0.39618   -0.40791
     0.37706   -0.42495
     0.35812   -0.44183
     0.33936   -0.45845
     0.32081   -0.47474
     0.30249   -0.49058
     0.28443   -0.50585
     0.26667   -0.52040
     0.24927   -0.53407
     0.23226   -0.54669
     0.21571   -0.55806
     0.19968   -0.56797
     0.18425   -0.57621
     0.16950   -0.58257
     0.15549   -0.58686
     0.14228   -0.58892
     0.12991   -0.58863
     0.11840   -0.58588
     0.10774   -0.58062
     0.09792   -0.57280
     0.08890   -0.56237
     0.08062   -0.54931
     0.07303   -0.53353
     0.06607   -0.51493
     0.05968   -0.49340
     0.05381   -0.46875
     0.04841   -0.44076
     0.04344   -0.40916
     0.03885   -0.37363
     0.03461   -0.33380
     0.03069   -0.28924
     0.02707   -0.23950
     0.02372   -0.18409
     0.02063   -0.12251
     0.01778   -0.05431
     0.01516    0.02087
     0.01276    0.10322
     0.01058    0.19259
     0.00860    0.28839
     0.00684    0.38940
     0.00527    0.49358
     0.00392    0.59795
     0.00277    0.69865
     0.00183    0.79118
     0.00108    0.87087
     0.00054    0.93353
     0.00019    0.97622
     0.00002    0.99740
     0.00002    0.99740
     0.00019    0.97622
     0.00054    0.93353
     0.00108    0.87087
     0.00183    0.79118
     0.00277    0.69865
     0.00392    0.59795
     0.00527    0.49358
     0.00684    0.38940
     0.00860    0.28839
     0.01058    0.19259
     0.01276    0.10322
     0.01516    0.02087
     0.01778   -0.05431
     0.02063   -0.12251
     0.02372   -0.18409
     0.02707   -0.23950
     0.03069   -0.28924
     0.03461   -0.33380
     0.03885   -0.37363
     0.04344   -0.40916
     0.04841   -0.44076
     0.05381   -0.46875
     0.05968   -0.49340
     0.06607   -0.51493
     0.07303   -0.53353
     0.08062   -0.54931
     0.08890   -0.56237
     0.09792   -0.57280
     0.10774   -0.58062
     0.11840   -0.58588
     0.12991   -0.58863
     0.14228   -0.58892
     0.15549   -0.58686
     0.16950   -0.58257
     0.18425   -0.57621
     0.19968   -0.56797
     0.21571   -0.55806
     0.23226   -0.54669
     0.24927   -0.53407
     0.26667   -0.52040
     0.28443   -0.50585
     0.30249   -0.49058
     0.32081   -0.47474
     0.33936   -0.45845
     0.35812   -0.44183
     0.37706   -0.42495
     0.39618   -0.40791
     0.41544   -0.39077
     0.43483   -0.37358
     0.45435   -0.35639
     0.47398   -0.33923
     0.49371   -0.32212
     0.51353   -0.30509
     0.53343   -0.28813
     0.55341   -0.27126
     0.57345   -0.25447
     0.59354   -0.23773
     0.61369   -0.22103
     0.63388   -0.20434
     0.65410   -0.18760
     0.67436   -0.17078
     0.69463   -0.15382
     0.71491   -0.13663
     0.73519   -0.11912
     0.75547   -0.10120
     0.77571   -0.08273
     0.79592   -0.06356
     0.81604   -0.04351
     0.83605   -0.02237
     0.85587    0.00014
     0.87542    0.02434
     0.89457    0.05060
     0.91315    0.07941
     0.93093    0.11142
     0.94769    0.14764
     0.96321    0.18957
     0.97736    0.24279
     0.99009    0.30653
     1.00000    0.51107
