  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.7237   0.00000  -0.00111   0.0084   0.0000   0.0000
  -5.900  -0.7116   0.00000  -0.00110   0.0082   0.0000   0.0000
  -5.800  -0.6996   0.00000  -0.00110   0.0081   0.0000   0.0000
  -5.700  -0.6876   0.00000  -0.00110   0.0079   0.0000   0.0000
  -5.600  -0.6756   0.00000  -0.00110   0.0078   0.0000   0.0000
  -5.500  -0.6635   0.00000  -0.00110   0.0077   0.0000   0.0000
  -5.400  -0.6515   0.00000  -0.00110   0.0075   0.0000   0.0000
  -5.300  -0.6395   0.00000  -0.00109   0.0074   0.0000   0.0000
  -5.200  -0.6274   0.00000  -0.00109   0.0073   0.0000   0.0000
  -5.100  -0.6154   0.00000  -0.00109   0.0071   0.0000   0.0000
  -5.000  -0.6034   0.00000  -0.00109   0.0070   0.0000   0.0000
  -4.900  -0.5913   0.00000  -0.00109   0.0068   0.0000   0.0000
  -4.800  -0.5793   0.00000  -0.00109   0.0067   0.0000   0.0000
  -4.700  -0.5673   0.00000  -0.00109   0.0066   0.0000   0.0000
  -4.600  -0.5552   0.00000  -0.00109   0.0064   0.0000   0.0000
  -4.500  -0.5432   0.00000  -0.00108   0.0063   0.0000   0.0000
  -4.400  -0.5311   0.00000  -0.00108   0.0061   0.0000   0.0000
  -4.300  -0.5191   0.00000  -0.00108   0.0060   0.0000   0.0000
  -4.200  -0.5070   0.00000  -0.00108   0.0059   0.0000   0.0000
  -4.100  -0.4950   0.00000  -0.00108   0.0057   0.0000   0.0000
  -4.000  -0.4829   0.00000  -0.00108   0.0056   0.0000   0.0000
  -3.900  -0.4709   0.00000  -0.00108   0.0055   0.0000   0.0000
  -3.800  -0.4588   0.00000  -0.00108   0.0053   0.0000   0.0000
  -3.700  -0.4468   0.00000  -0.00108   0.0052   0.0000   0.0000
  -3.600  -0.4347   0.00000  -0.00107   0.0050   0.0000   0.0000
  -3.500  -0.4226   0.00000  -0.00107   0.0049   0.0000   0.0000
  -3.400  -0.4106   0.00000  -0.00107   0.0048   0.0000   0.0000
  -3.300  -0.3985   0.00000  -0.00107   0.0046   0.0000   0.0000
  -3.200  -0.3864   0.00000  -0.00107   0.0045   0.0000   0.0000
  -3.100  -0.3744   0.00000  -0.00107   0.0043   0.0000   0.0000
  -3.000  -0.3623   0.00000  -0.00107   0.0042   0.0000   0.0000
  -2.900  -0.3502   0.00000  -0.00107   0.0041   0.0000   0.0000
  -2.800  -0.3382   0.00000  -0.00107   0.0039   0.0000   0.0000
  -2.700  -0.3261   0.00000  -0.00107   0.0038   0.0000   0.0000
  -2.600  -0.3140   0.00000  -0.00107   0.0036   0.0000   0.0000
  -2.500  -0.3020   0.00000  -0.00107   0.0035   0.0000   0.0000
