  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    15.841 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.4563   0.00570   0.00125   0.0013   0.5755   0.0665
  -3.900  -0.4450   0.00565   0.00121   0.0013   0.5699   0.0700
  -3.800  -0.4337   0.00563   0.00119   0.0013   0.5615   0.0722
  -3.700  -0.4222   0.00561   0.00116   0.0013   0.5544   0.0758
  -3.600  -0.4109   0.00557   0.00113   0.0012   0.5482   0.0804
  -3.500  -0.3996   0.00556   0.00110   0.0012   0.5383   0.0830
  -3.400  -0.3881   0.00554   0.00109   0.0012   0.5334   0.0846
  -3.300  -0.3767   0.00553   0.00107   0.0011   0.5232   0.0894
  -3.200  -0.3654   0.00548   0.00103   0.0011   0.5170   0.0945
  -3.100  -0.3540   0.00548   0.00102   0.0011   0.5073   0.0965
  -3.000  -0.3426   0.00545   0.00099   0.0011   0.5028   0.1024
  -2.900  -0.3313   0.00542   0.00097   0.0010   0.4951   0.1073
  -2.800  -0.3198   0.00541   0.00095   0.0010   0.4883   0.1092
  -2.700  -0.3084   0.00539   0.00093   0.0010   0.4798   0.1155
  -2.600  -0.2971   0.00536   0.00090   0.0009   0.4726   0.1212
  -2.500  -0.2856   0.00535   0.00089   0.0009   0.4666   0.1237
  -2.400  -0.2743   0.00532   0.00087   0.0009   0.4566   0.1330
  -2.300  -0.2629   0.00530   0.00085   0.0008   0.4508   0.1361
  -2.200  -0.2515   0.00530   0.00084   0.0008   0.4420   0.1424
  -2.100  -0.2400   0.00526   0.00082   0.0008   0.4371   0.1485
  -2.000  -0.2286   0.00526   0.00081   0.0007   0.4291   0.1526
  -1.900  -0.2172   0.00524   0.00079   0.0007   0.4222   0.1596
  -1.800  -0.2058   0.00521   0.00077   0.0007   0.4166   0.1657
  -1.700  -0.1943   0.00521   0.00077   0.0006   0.4064   0.1701
  -1.600  -0.1830   0.00518   0.00075   0.0006   0.4019   0.1788
  -1.400  -0.1601   0.00516   0.00073   0.0005   0.3853   0.1909
  -1.300  -0.1487   0.00515   0.00072   0.0005   0.3796   0.1965
  -1.200  -0.1372   0.00514   0.00071   0.0005   0.3724   0.2036
  -1.100  -0.1258   0.00513   0.00070   0.0004   0.3649   0.2101
  -1.000  -0.1143   0.00513   0.00069   0.0004   0.3570   0.2143
  -0.900  -0.1029   0.00510   0.00068   0.0003   0.3516   0.2238
  -0.700  -0.0801   0.00509   0.00067   0.0003   0.3366   0.2380
  -0.600  -0.0686   0.00509   0.00067   0.0002   0.3290   0.2431
  -0.500  -0.0571   0.00509   0.00067   0.0002   0.3218   0.2491
  -0.400  -0.0458   0.00508   0.00066   0.0002   0.3136   0.2583
  -0.300  -0.0343   0.00508   0.00066   0.0001   0.3073   0.2632
  -0.200  -0.0229   0.00506   0.00065   0.0001   0.3022   0.2730
  -0.100  -0.0114   0.00508   0.00066   0.0000   0.2920   0.2785
   0.000   0.0000   0.00506   0.00065  -0.0000   0.2872   0.2867
   0.100   0.0114   0.00508   0.00066  -0.0000   0.2772   0.2922
   0.200   0.0229   0.00506   0.00065  -0.0001   0.2727   0.3018
   0.300   0.0343   0.00508   0.00066  -0.0001   0.2633   0.3074
