  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY NLF 0414F AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.3952   0.00000  -0.00214  -0.0598   0.0000   0.0000
  -5.900  -0.3830   0.00000  -0.00213  -0.0600   0.0000   0.0000
  -5.800  -0.3708   0.00000  -0.00212  -0.0602   0.0000   0.0000
  -5.700  -0.3587   0.00000  -0.00210  -0.0605   0.0000   0.0000
  -5.600  -0.3465   0.00000  -0.00209  -0.0607   0.0000   0.0000
  -5.500  -0.3344   0.00000  -0.00208  -0.0609   0.0000   0.0000
  -5.400  -0.3222   0.00000  -0.00206  -0.0612   0.0000   0.0000
  -5.300  -0.3100   0.00000  -0.00205  -0.0614   0.0000   0.0000
  -5.200  -0.2979   0.00000  -0.00204  -0.0617   0.0000   0.0000
  -5.100  -0.2857   0.00000  -0.00203  -0.0619   0.0000   0.0000
  -5.000  -0.2736   0.00000  -0.00201  -0.0621   0.0000   0.0000
  -4.900  -0.2614   0.00000  -0.00200  -0.0624   0.0000   0.0000
  -4.800  -0.2492   0.00000  -0.00199  -0.0626   0.0000   0.0000
  -4.700  -0.2371   0.00000  -0.00198  -0.0629   0.0000   0.0000
  -4.600  -0.2249   0.00000  -0.00196  -0.0631   0.0000   0.0000
  -4.500  -0.2127   0.00000  -0.00195  -0.0633   0.0000   0.0000
  -4.400  -0.2006   0.00000  -0.00194  -0.0636   0.0000   0.0000
  -4.300  -0.1884   0.00000  -0.00193  -0.0638   0.0000   0.0000
  -4.200  -0.1762   0.00000  -0.00192  -0.0641   0.0000   0.0000
  -4.100  -0.1641   0.00000  -0.00191  -0.0643   0.0000   0.0000
  -4.000  -0.1519   0.00000  -0.00189  -0.0646   0.0000   0.0000
  -3.900  -0.1397   0.00000  -0.00188  -0.0648   0.0000   0.0000
  -3.800  -0.1276   0.00000  -0.00187  -0.0650   0.0000   0.0000
  -3.700  -0.1154   0.00000  -0.00186  -0.0653   0.0000   0.0000
  -3.600  -0.1032   0.00000  -0.00185  -0.0655   0.0000   0.0000
  -3.500  -0.0911   0.00000  -0.00184  -0.0658   0.0000   0.0000
  -3.400  -0.0789   0.00000  -0.00183  -0.0660   0.0000   0.0000
  -3.300  -0.0667   0.00000  -0.00182  -0.0663   0.0000   0.0000
  -3.200  -0.0546   0.00000  -0.00181  -0.0665   0.0000   0.0000
  -3.100  -0.0424   0.00000  -0.00180  -0.0668   0.0000   0.0000
  -3.000  -0.0302   0.00000  -0.00179  -0.0670   0.0000   0.0000
  -2.900  -0.0181   0.00000  -0.00178  -0.0673   0.0000   0.0000
  -2.800  -0.0059   0.00000  -0.00177  -0.0675   0.0000   0.0000
  -2.700   0.0063   0.00000  -0.00176  -0.0678   0.0000   0.0000
  -2.600   0.0184   0.00000  -0.00175  -0.0680   0.0000   0.0000
  -2.500   0.0306   0.00000  -0.00174  -0.0682   0.0000   0.0000
  -2.400   0.0428   0.00000  -0.00173  -0.0685   0.0000   0.0000
  -2.300   0.0549   0.00000  -0.00172  -0.0687   0.0000   0.0000
  -2.200   0.0671   0.00000  -0.00171  -0.0690   0.0000   0.0000
  -2.100   0.0793   0.00000  -0.00170  -0.0692   0.0000   0.0000
  -2.000   0.0914   0.00000  -0.00170  -0.0695   0.0000   0.0000
  -1.900   0.1036   0.00000  -0.00169  -0.0697   0.0000   0.0000
  -1.800   0.1158   0.00000  -0.00168  -0.0700   0.0000   0.0000
  -1.700   0.1279   0.00000  -0.00167  -0.0703   0.0000   0.0000
  -1.600   0.1401   0.00000  -0.00166  -0.0705   0.0000   0.0000
  -1.500   0.1522   0.00000  -0.00166  -0.0708   0.0000   0.0000
  -1.400   0.1644   0.00000  -0.00165  -0.0710   0.0000   0.0000
  -1.300   0.1766   0.00000  -0.00164  -0.0713   0.0000   0.0000
  -1.200   0.1887   0.00000  -0.00163  -0.0715   0.0000   0.0000
  -1.100   0.2009   0.00000  -0.00163  -0.0718   0.0000   0.0000
  -1.000   0.2130   0.00000  -0.00162  -0.0720   0.0000   0.0000
  -0.900   0.2252   0.00000  -0.00161  -0.0723   0.0000   0.0000
  -0.800   0.2374   0.00000  -0.00161  -0.0725   0.0000   0.0000
  -0.700   0.2495   0.00000  -0.00160  -0.0728   0.0000   0.0000
  -0.600   0.2617   0.00000  -0.00159  -0.0730   0.0000   0.0000
  -0.500   0.2738   0.00000  -0.00159  -0.0733   0.0000   0.0000
  -0.400   0.2860   0.00000  -0.00158  -0.0735   0.0000   0.0000
  -0.300   0.2981   0.00000  -0.00157  -0.0738   0.0000   0.0000
  -0.200   0.3103   0.00000  -0.00157  -0.0741   0.0000   0.0000
  -0.100   0.3224   0.00000  -0.00156  -0.0743   0.0000   0.0000
   0.000   0.3346   0.00000  -0.00156  -0.0746   0.0000   0.0000
   0.100   0.3467   0.00000  -0.00155  -0.0748   0.0000   0.0000
   0.200   0.3589   0.00000  -0.00155  -0.0751   0.0000   0.0000
   0.300   0.3710   0.00000  -0.00154  -0.0753   0.0000   0.0000
   0.400   0.3832   0.00000  -0.00154  -0.0756   0.0000   0.0000
   0.500   0.3953   0.00000  -0.00153  -0.0758   0.0000   0.0000
   0.600   0.4074   0.00000  -0.00153  -0.0761   0.0000   0.0000
   0.700   0.4196   0.00000  -0.00152  -0.0764   0.0000   0.0000
   0.800   0.4317   0.00000  -0.00152  -0.0766   0.0000   0.0000
   0.900   0.4439   0.00000  -0.00152  -0.0769   0.0000   0.0000
   1.000   0.4560   0.00000  -0.00151  -0.0771   0.0000   0.0000
   1.100   0.4681   0.00000  -0.00151  -0.0774   0.0000   0.0000
   1.200   0.4803   0.00000  -0.00151  -0.0777   0.0000   0.0000
   1.300   0.4924   0.00000  -0.00150  -0.0779   0.0000   0.0000
   1.400   0.5045   0.00000  -0.00150  -0.0782   0.0000   0.0000
   1.500   0.5166   0.00000  -0.00150  -0.0784   0.0000   0.0000
   1.600   0.5288   0.00000  -0.00149  -0.0787   0.0000   0.0000
   1.700   0.5409   0.00000  -0.00149  -0.0790   0.0000   0.0000
   1.800   0.5530   0.00000  -0.00149  -0.0792   0.0000   0.0000
   1.900   0.5651   0.00000  -0.00149  -0.0795   0.0000   0.0000
