  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY NLF 0414F AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    15.841 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.1452   0.00517   0.00132  -0.0638   0.7335   0.0070
  -3.900  -0.1333   0.00513   0.00128  -0.0640   0.7335   0.0070
  -3.800  -0.1214   0.00509   0.00124  -0.0642   0.7334   0.0070
  -3.700  -0.1095   0.00505   0.00121  -0.0644   0.7334   0.0071
  -3.600  -0.0975   0.00501   0.00118  -0.0647   0.7334   0.0071
  -3.500  -0.0856   0.00498   0.00114  -0.0649   0.7334   0.0071
  -3.400  -0.0737   0.00494   0.00111  -0.0651   0.7334   0.0071
  -3.300  -0.0617   0.00490   0.00108  -0.0653   0.7334   0.0071
  -3.200  -0.0498   0.00487   0.00106  -0.0655   0.7333   0.0071
  -3.100  -0.0378   0.00484   0.00102  -0.0658   0.7333   0.0071
  -3.000  -0.0259   0.00481   0.00100  -0.0660   0.7333   0.0072
  -2.900  -0.0139   0.00478   0.00097  -0.0662   0.7333   0.0072
  -2.800  -0.0020   0.00474   0.00095  -0.0664   0.7332   0.0072
  -2.700   0.0100   0.00471   0.00093  -0.0666   0.7332   0.0072
  -2.600   0.0219   0.00468   0.00090  -0.0669   0.7331   0.0072
  -2.500   0.0339   0.00466   0.00088  -0.0671   0.7331   0.0073
  -2.400   0.0459   0.00463   0.00086  -0.0673   0.7331   0.0073
  -2.300   0.0578   0.00460   0.00084  -0.0676   0.7330   0.0073
  -2.200   0.0698   0.00457   0.00082  -0.0678   0.7329   0.0073
  -2.100   0.0818   0.00454   0.00080  -0.0680   0.7329   0.0074
  -2.000   0.0938   0.00452   0.00079  -0.0682   0.7328   0.0074
  -1.900   0.1057   0.00449   0.00077  -0.0685   0.7327   0.0074
  -1.800   0.1177   0.00447   0.00075  -0.0687   0.7326   0.0076
  -1.700   0.1297   0.00444   0.00074  -0.0689   0.7325   0.0081
  -1.600   0.1417   0.00441   0.00072  -0.0692   0.7323   0.0085
  -1.500   0.1537   0.00439   0.00071  -0.0694   0.7321   0.0088
  -1.400   0.1657   0.00437   0.00069  -0.0696   0.7318   0.0097
  -1.300   0.1776   0.00434   0.00067  -0.0699   0.7314   0.0100
  -1.200   0.1896   0.00432   0.00066  -0.0701   0.7311   0.0108
  -1.100   0.2016   0.00429   0.00065  -0.0703   0.7308   0.0116
  -1.000   0.2136   0.00427   0.00063  -0.0706   0.7304   0.0121
  -0.900   0.2256   0.00425   0.00062  -0.0708   0.7297   0.0126
  -0.800   0.2375   0.00423   0.00060  -0.0710   0.7283   0.0130
  -0.700   0.2493   0.00426   0.00058  -0.0712   0.7131   0.0143
  -0.500   0.2718   0.00455   0.00066  -0.0716   0.6367   0.0275
  -0.400   0.2832   0.00470   0.00072  -0.0718   0.6057   0.0352
  -0.300   0.2944   0.00486   0.00079  -0.0720   0.5720   0.0364
  -0.200   0.3058   0.00495   0.00084  -0.0723   0.5508   0.0511
   0.100   0.3405   0.00504   0.00091  -0.0729   0.5029   0.0971
   0.200   0.3523   0.00499   0.00089  -0.0732   0.4980   0.1251
   0.300   0.3634   0.00512   0.00096  -0.0734   0.4658   0.1394
   0.400   0.3749   0.00513   0.00099  -0.0737   0.4531   0.1692
   0.500   0.3863   0.00510   0.00101  -0.0740   0.4370   0.2137
   0.800   0.4217   0.00501   0.00102  -0.0747   0.4208   0.2779
   0.900   0.4329   0.00509   0.00108  -0.0750   0.3991   0.2990
   1.000   0.4436   0.00523   0.00114  -0.0752   0.3580   0.3232
   1.100   0.4537   0.00537   0.00125  -0.0754   0.3041   0.3931
   1.200   0.4646   0.00519   0.00128  -0.0759   0.2683   0.5352
   1.300   0.4757   0.00482   0.00131  -0.0764   0.2449   0.7182
   1.400   0.4871   0.00491   0.00136  -0.0766   0.2265   0.7207
   1.600   0.5103   0.00503   0.00144  -0.0770   0.2162   0.7222
   1.700   0.5216   0.00513   0.00150  -0.0771   0.1991   0.7228
   1.800   0.5324   0.00531   0.00157  -0.0772   0.1735   0.7231
   1.900   0.5440   0.00536   0.00160  -0.0774   0.1671   0.7235
   2.000   0.5548   0.00552   0.00167  -0.0775   0.1422   0.7237
   2.100   0.5665   0.00556   0.00170  -0.0777   0.1406   0.7240
   2.200   0.5779   0.00563   0.00174  -0.0779   0.1354   0.7243
   2.300   0.5892   0.00572   0.00179  -0.0780   0.1265   0.7245
   2.400   0.6008   0.00578   0.00183  -0.0782   0.1182   0.7248
   2.500   0.6124   0.00582   0.00186  -0.0784   0.1162   0.7250
   2.600   0.6237   0.00590   0.00191  -0.0786   0.1112   0.7252
   2.700   0.6349   0.00599   0.00196  -0.0787   0.1039   0.7254
   2.800   0.6464   0.00605   0.00201  -0.0789   0.0958   0.7255
   2.900   0.6579   0.00610   0.00204  -0.0790   0.0941   0.7256
   3.000   0.6693   0.00616   0.00209  -0.0792   0.0912   0.7258
   3.100   0.6804   0.00627   0.00215  -0.0793   0.0844   0.7258
   3.200   0.6918   0.00634   0.00220  -0.0795   0.0771   0.7259
   3.300   0.7032   0.00639   0.00223  -0.0796   0.0737   0.7260
   3.400   0.7146   0.00645   0.00228  -0.0798   0.0715   0.7260
   3.500   0.7255   0.00657   0.00235  -0.0799   0.0638   0.7261
   3.600   0.7368   0.00664   0.00240  -0.0800   0.0574   0.7261
   3.700   0.7479   0.00672   0.00246  -0.0801   0.0533   0.7262
   3.800   0.7589   0.00681   0.00253  -0.0802   0.0490   0.7262
   3.900   0.7701   0.00689   0.00258  -0.0804   0.0455   0.7262
   4.000   0.7814   0.00695   0.00263  -0.0805   0.0415   0.7263
   4.100   0.7928   0.00700   0.00268  -0.0806   0.0398   0.7263
   4.200   0.8041   0.00706   0.00273  -0.0808   0.0392   0.7264
   4.300   0.8153   0.00713   0.00279  -0.0809   0.0380   0.7264
   4.400   0.8263   0.00722   0.00286  -0.0810   0.0361   0.7265
   4.500   0.8374   0.00730   0.00292  -0.0811   0.0346   0.7265
   4.600   0.8485   0.00738   0.00299  -0.0812   0.0329   0.7265
   4.700   0.8596   0.00745   0.00305  -0.0813   0.0312   0.7266
   4.800   0.8707   0.00752   0.00311  -0.0814   0.0295   0.7266
   4.900   0.8819   0.00759   0.00317  -0.0815   0.0279   0.7266
