  
       XFOIL         Version 6.99
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.5529   0.00000  -0.00038  -0.0286   0.0000   0.0000
  -5.900  -0.5406   0.00000  -0.00038  -0.0288   0.0000   0.0000
  -5.800  -0.5283   0.00000  -0.00038  -0.0290   0.0000   0.0000
  -5.700  -0.5160   0.00000  -0.00037  -0.0292   0.0000   0.0000
  -5.600  -0.5037   0.00000  -0.00037  -0.0295   0.0000   0.0000
  -5.500  -0.4914   0.00000  -0.00037  -0.0297   0.0000   0.0000
  -5.400  -0.4791   0.00000  -0.00037  -0.0299   0.0000   0.0000
  -5.300  -0.4668   0.00000  -0.00036  -0.0301   0.0000   0.0000
  -5.200  -0.4545   0.00000  -0.00036  -0.0303   0.0000   0.0000
  -5.100  -0.4422   0.00000  -0.00036  -0.0306   0.0000   0.0000
  -5.000  -0.4299   0.00000  -0.00036  -0.0308   0.0000   0.0000
  -4.900  -0.4176   0.00000  -0.00036  -0.0310   0.0000   0.0000
  -4.800  -0.4053   0.00000  -0.00035  -0.0312   0.0000   0.0000
  -4.700  -0.3930   0.00000  -0.00035  -0.0314   0.0000   0.0000
  -4.600  -0.3806   0.00000  -0.00035  -0.0317   0.0000   0.0000
  -4.500  -0.3683   0.00000  -0.00035  -0.0319   0.0000   0.0000
  -4.400  -0.3560   0.00000  -0.00035  -0.0321   0.0000   0.0000
  -4.300  -0.3437   0.00000  -0.00035  -0.0323   0.0000   0.0000
  -4.200  -0.3314   0.00000  -0.00034  -0.0325   0.0000   0.0000
  -4.100  -0.3191   0.00000  -0.00034  -0.0328   0.0000   0.0000
  -4.000  -0.3068   0.00000  -0.00034  -0.0330   0.0000   0.0000
  -3.900  -0.2944   0.00000  -0.00034  -0.0332   0.0000   0.0000
  -3.800  -0.2821   0.00000  -0.00034  -0.0334   0.0000   0.0000
  -3.700  -0.2698   0.00000  -0.00034  -0.0337   0.0000   0.0000
  -3.600  -0.2575   0.00000  -0.00033  -0.0339   0.0000   0.0000
  -3.500  -0.2452   0.00000  -0.00033  -0.0341   0.0000   0.0000
  -3.400  -0.2328   0.00000  -0.00033  -0.0343   0.0000   0.0000
  -3.300  -0.2205   0.00000  -0.00033  -0.0345   0.0000   0.0000
  -3.200  -0.2082   0.00000  -0.00033  -0.0348   0.0000   0.0000
  -3.100  -0.1959   0.00000  -0.00033  -0.0350   0.0000   0.0000
  -3.000  -0.1835   0.00000  -0.00033  -0.0352   0.0000   0.0000
  -2.900  -0.1712   0.00000  -0.00033  -0.0354   0.0000   0.0000
  -2.800  -0.1589   0.00000  -0.00033  -0.0357   0.0000   0.0000
  -2.700  -0.1466   0.00000  -0.00032  -0.0359   0.0000   0.0000
  -2.600  -0.1342   0.00000  -0.00032  -0.0361   0.0000   0.0000
  -2.500  -0.1219   0.00000  -0.00032  -0.0363   0.0000   0.0000
  -2.400  -0.1096   0.00000  -0.00032  -0.0366   0.0000   0.0000
  -2.300  -0.0973   0.00000  -0.00032  -0.0368   0.0000   0.0000
  -2.200  -0.0849   0.00000  -0.00032  -0.0370   0.0000   0.0000
  -2.100  -0.0726   0.00000  -0.00032  -0.0372   0.0000   0.0000
  -2.000  -0.0603   0.00000  -0.00032  -0.0375   0.0000   0.0000
  -1.900  -0.0479   0.00000  -0.00032  -0.0377   0.0000   0.0000
  -1.800  -0.0356   0.00000  -0.00032  -0.0379   0.0000   0.0000
  -1.700  -0.0233   0.00000  -0.00032  -0.0381   0.0000   0.0000
  -1.600  -0.0110   0.00000  -0.00032  -0.0384   0.0000   0.0000
  -1.500   0.0014   0.00000  -0.00032  -0.0386   0.0000   0.0000
  -1.400   0.0137   0.00000  -0.00032  -0.0388   0.0000   0.0000
  -1.300   0.0260   0.00000  -0.00032  -0.0390   0.0000   0.0000
  -1.200   0.0384   0.00000  -0.00032  -0.0393   0.0000   0.0000
  -1.100   0.0507   0.00000  -0.00032  -0.0395   0.0000   0.0000
  -1.000   0.0630   0.00000  -0.00032  -0.0397   0.0000   0.0000
  -0.900   0.0753   0.00000  -0.00032  -0.0399   0.0000   0.0000
  -0.800   0.0877   0.00000  -0.00032  -0.0402   0.0000   0.0000
  -0.700   0.1000   0.00000  -0.00032  -0.0404   0.0000   0.0000
  -0.600   0.1123   0.00000  -0.00032  -0.0406   0.0000   0.0000
  -0.500   0.1246   0.00000  -0.00032  -0.0409   0.0000   0.0000
  -0.400   0.1370   0.00000  -0.00032  -0.0411   0.0000   0.0000
  -0.300   0.1493   0.00000  -0.00032  -0.0413   0.0000   0.0000
  -0.200   0.1616   0.00000  -0.00032  -0.0415   0.0000   0.0000
  -0.100   0.1739   0.00000  -0.00032  -0.0418   0.0000   0.0000
   0.000   0.1863   0.00000  -0.00032  -0.0420   0.0000   0.0000
   0.100   0.1986   0.00000  -0.00032  -0.0422   0.0000   0.0000
   0.200   0.2109   0.00000  -0.00032  -0.0424   0.0000   0.0000
   0.300   0.2232   0.00000  -0.00032  -0.0427   0.0000   0.0000
   0.400   0.2356   0.00000  -0.00032  -0.0429   0.0000   0.0000
   0.500   0.2479   0.00000  -0.00032  -0.0431   0.0000   0.0000
   0.600   0.2602   0.00000  -0.00032  -0.0434   0.0000   0.0000
   0.700   0.2725   0.00000  -0.00032  -0.0436   0.0000   0.0000
   0.800   0.2848   0.00000  -0.00032  -0.0438   0.0000   0.0000
   0.900   0.2972   0.00000  -0.00032  -0.0440   0.0000   0.0000
   1.000   0.3095   0.00000  -0.00032  -0.0443   0.0000   0.0000
   1.100   0.3218   0.00000  -0.00033  -0.0445   0.0000   0.0000
   1.200   0.3341   0.00000  -0.00033  -0.0447   0.0000   0.0000
   1.300   0.3464   0.00000  -0.00033  -0.0450   0.0000   0.0000
   1.400   0.3587   0.00000  -0.00033  -0.0452   0.0000   0.0000
   1.500   0.3710   0.00000  -0.00033  -0.0454   0.0000   0.0000
   1.600   0.3833   0.00000  -0.00033  -0.0456   0.0000   0.0000
   1.700   0.3957   0.00000  -0.00033  -0.0459   0.0000   0.0000
   1.800   0.4080   0.00000  -0.00033  -0.0461   0.0000   0.0000
   1.900   0.4203   0.00000  -0.00034  -0.0463   0.0000   0.0000
