  
       XFOIL         Version 6.99
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    15.841 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2815   0.00611   0.00147  -0.0366   0.4869   0.0459
  -3.900  -0.2700   0.00607   0.00144  -0.0367   0.4850   0.0485
  -3.800  -0.2585   0.00604   0.00141  -0.0368   0.4834   0.0500
  -3.700  -0.2469   0.00600   0.00139  -0.0369   0.4832   0.0514
  -3.600  -0.2352   0.00598   0.00137  -0.0370   0.4830   0.0528
  -3.500  -0.2236   0.00594   0.00135  -0.0371   0.4827   0.0546
  -3.400  -0.2120   0.00591   0.00132  -0.0372   0.4824   0.0560
  -3.300  -0.2003   0.00588   0.00130  -0.0373   0.4820   0.0572
  -3.200  -0.1887   0.00584   0.00128  -0.0374   0.4815   0.0606
  -3.100  -0.1772   0.00581   0.00125  -0.0375   0.4805   0.0637
  -3.000  -0.1658   0.00576   0.00122  -0.0376   0.4789   0.0697
  -2.600  -0.1206   0.00556   0.00111  -0.0378   0.4706   0.1017
  -2.500  -0.1091   0.00553   0.00109  -0.0379   0.4685   0.1059
  -2.400  -0.0977   0.00548   0.00106  -0.0380   0.4664   0.1150
  -2.300  -0.0860   0.00545   0.00105  -0.0381   0.4646   0.1189
  -2.200  -0.0746   0.00540   0.00103  -0.0382   0.4626   0.1271
  -2.100  -0.0629   0.00538   0.00101  -0.0383   0.4612   0.1300
  -2.000  -0.0514   0.00533   0.00099  -0.0384   0.4611   0.1392
  -1.900  -0.0397   0.00530   0.00098  -0.0385   0.4609   0.1424
  -1.800  -0.0279   0.00527   0.00096  -0.0387   0.4606   0.1483
  -1.700  -0.0163   0.00523   0.00095  -0.0388   0.4605   0.1537
  -1.600  -0.0045   0.00521   0.00093  -0.0389   0.4602   0.1567
  -1.500   0.0073   0.00519   0.00093  -0.0390   0.4599   0.1606
  -1.400   0.0188   0.00515   0.00091  -0.0391   0.4596   0.1687
  -1.300   0.0305   0.00512   0.00090  -0.0393   0.4591   0.1739
  -1.200   0.0420   0.00506   0.00088  -0.0394   0.4584   0.1867
  -1.100   0.0534   0.00500   0.00085  -0.0394   0.4574   0.2026
  -1.000   0.0646   0.00493   0.00083  -0.0395   0.4560   0.2212
  -0.900   0.0749   0.00474   0.00078  -0.0394   0.4541   0.2712
  -0.800   0.0861   0.00468   0.00076  -0.0395   0.4517   0.2881
  -0.700   0.0973   0.00462   0.00073  -0.0396   0.4492   0.3044
  -0.600   0.1090   0.00462   0.00074  -0.0397   0.4460   0.3087
  -0.500   0.1204   0.00457   0.00072  -0.0398   0.4424   0.3228
  -0.400   0.1321   0.00455   0.00071  -0.0399   0.4399   0.3307
  -0.300   0.1435   0.00448   0.00069  -0.0400   0.4396   0.3464
  -0.200   0.1550   0.00442   0.00068  -0.0401   0.4392   0.3630
  -0.100   0.1664   0.00436   0.00066  -0.0402   0.4387   0.3815
   0.000   0.1777   0.00428   0.00064  -0.0402   0.4380   0.4009
   0.100   0.1892   0.00423   0.00063  -0.0403   0.4371   0.4174
   0.200   0.2005   0.00417   0.00062  -0.0404   0.4357   0.4334
   0.300   0.2118   0.00412   0.00061  -0.0405   0.4330   0.4509
   0.500   0.2345   0.00409   0.00061  -0.0406   0.4253   0.4728
   0.600   0.2459   0.00407   0.00061  -0.0407   0.4201   0.4836
   0.700   0.2576   0.00406   0.00061  -0.0408   0.4187   0.4903
   0.800   0.2695   0.00406   0.00061  -0.0410   0.4177   0.4927
   0.900   0.2811   0.00405   0.00062  -0.0411   0.4153   0.5018
   1.000   0.2922   0.00408   0.00063  -0.0411   0.4075   0.5081
   1.100   0.3035   0.00411   0.00065  -0.0412   0.3983   0.5115
   1.200   0.3148   0.00416   0.00067  -0.0412   0.3900   0.5132
   1.300   0.3256   0.00425   0.00070  -0.0412   0.3740   0.5171
   1.500   0.3428   0.00476   0.00091  -0.0404   0.2832   0.5230
   1.600   0.3541   0.00480   0.00093  -0.0405   0.2750   0.5255
   1.700   0.3653   0.00485   0.00096  -0.0405   0.2681   0.5280
   1.800   0.3767   0.00489   0.00098  -0.0406   0.2601   0.5298
   1.900   0.3883   0.00491   0.00099  -0.0407   0.2568   0.5311
   2.000   0.3998   0.00494   0.00101  -0.0408   0.2528   0.5321
   2.100   0.4110   0.00501   0.00104  -0.0408   0.2453   0.5327
   2.200   0.4224   0.00505   0.00106  -0.0409   0.2371   0.5330
   2.300   0.4341   0.00507   0.00108  -0.0410   0.2354   0.5333
   2.400   0.4452   0.00513   0.00111  -0.0410   0.2283   0.5341
   2.500   0.4564   0.00519   0.00114  -0.0410   0.2173   0.5367
   2.800   0.4854   0.00567   0.00136  -0.0404   0.1414   0.5491
   2.900   0.4967   0.00571   0.00139  -0.0405   0.1351   0.5517
   3.000   0.5081   0.00575   0.00142  -0.0405   0.1327   0.5529
   3.100   0.5190   0.00582   0.00146  -0.0405   0.1265   0.5535
   3.200   0.5305   0.00585   0.00148  -0.0406   0.1231   0.5539
   3.300   0.5419   0.00589   0.00150  -0.0407   0.1209   0.5540
   3.400   0.5532   0.00593   0.00153  -0.0407   0.1181   0.5542
   3.500   0.5642   0.00600   0.00157  -0.0408   0.1122   0.5543
   3.600   0.5756   0.00603   0.00159  -0.0408   0.1091   0.5554
   3.700   0.5868   0.00608   0.00163  -0.0408   0.1061   0.5572
   3.800   0.5977   0.00615   0.00167  -0.0408   0.1002   0.5592
   3.900   0.6089   0.00619   0.00170  -0.0409   0.0971   0.5614
   4.000   0.6197   0.00626   0.00174  -0.0408   0.0914   0.5632
   4.100   0.6309   0.00629   0.00177  -0.0409   0.0889   0.5650
   4.400   0.6614   0.00662   0.00198  -0.0405   0.0594   0.5690
   4.500   0.6719   0.00671   0.00204  -0.0404   0.0528   0.5700
   4.600   0.6825   0.00679   0.00210  -0.0403   0.0479   0.5709
   4.700   0.6934   0.00684   0.00214  -0.0403   0.0450   0.5718
   4.800   0.7041   0.00691   0.00219  -0.0402   0.0412   0.5725
   4.900   0.7147   0.00699   0.00224  -0.0402   0.0376   0.5731
   5.000   0.7248   0.00709   0.00231  -0.0400   0.0305   0.5737
   5.100   0.7357   0.00714   0.00236  -0.0400   0.0294   0.5741
   5.200   0.7464   0.00721   0.00241  -0.0400   0.0271   0.5745
