#    x        Cp  
   1.00000  0.41477
   0.99372  0.25527
   0.98277  0.19552
   0.96999  0.15150
   0.95567  0.11795
   0.94026  0.09039
   0.92422  0.06680
   0.90784  0.04649
   0.89128  0.02853
   0.87462  0.01252
   0.85793 -0.00253
   0.84120 -0.01596
   0.82446 -0.02879
   0.80771 -0.04083
   0.79095 -0.05214
   0.77419 -0.06341
   0.75742 -0.07384
   0.74066 -0.08411
   0.72389 -0.09433
   0.70712 -0.10394
   0.69035 -0.11370
   0.67359 -0.12334
   0.65683 -0.13265
   0.64008 -0.14218
   0.62333 -0.15163
   0.60659 -0.16084
   0.58987 -0.17019
   0.57315 -0.17959
   0.55645 -0.18882
   0.53976 -0.19830
   0.52309 -0.20775
   0.50644 -0.21718
   0.48980 -0.22685
   0.47319 -0.23609
   0.45660 -0.24599
   0.44004 -0.25539
   0.42351 -0.26521
   0.40701 -0.27468
   0.39055 -0.28451
   0.37412 -0.29408
   0.35774 -0.30359
   0.34140 -0.31332
   0.32511 -0.32274
   0.30888 -0.33212
   0.29272 -0.34144
   0.27662 -0.35036
   0.26060 -0.35923
   0.24467 -0.36776
   0.22884 -0.37591
   0.21313 -0.38336
   0.19755 -0.39092
   0.18214 -0.39720
   0.16693 -0.40298
   0.15196 -0.40752
   0.13730 -0.41104
   0.12303 -0.41303
   0.10929 -0.41301
   0.09622 -0.41069
   0.08399 -0.40581
   0.07278 -0.39772
   0.06271 -0.38615
   0.05380 -0.37042
   0.04603 -0.35110
   0.03929 -0.32661
   0.03346 -0.29868
   0.02840 -0.26389
   0.02399 -0.22407
   0.02013 -0.17602
   0.01674 -0.12075
   0.01376 -0.05486
   0.01114  0.02127
   0.00883  0.11212
   0.00682  0.21493
   0.00508  0.33326
   0.00360  0.46499
   0.00238  0.60265
   0.00141  0.73944
   0.00070  0.85977
   0.00025  0.94832
   0.00003  0.99435
   0.00003  0.99438
   0.00025  0.94811
   0.00070  0.85987
   0.00141  0.73909
   0.00238  0.60324
   0.00360  0.46471
   0.00508  0.33372
   0.00682  0.21515
   0.00883  0.11157
   0.01114  0.02226
   0.01376 -0.05583
   0.01674 -0.12010
   0.02013 -0.17652
   0.02399 -0.22347
   0.02840 -0.26406
   0.03346 -0.29853
   0.03929 -0.32679
   0.04603 -0.35105
   0.05380 -0.37053
   0.06271 -0.38582
   0.07278 -0.39793
   0.08399 -0.40568
   0.09622 -0.41076
   0.10929 -0.41303
   0.12303 -0.41280
   0.13730 -0.41109
   0.15196 -0.40762
   0.16693 -0.40283
   0.18214 -0.39733
   0.19755 -0.39067
   0.21313 -0.38355
   0.22884 -0.37583
   0.24467 -0.36769
   0.26060 -0.35927
   0.27662 -0.35038
   0.29272 -0.34139
   0.30888 -0.33211
   0.32511 -0.32284
   0.34140 -0.31315
   0.35774 -0.30370
   0.37412 -0.29413
   0.39055 -0.28449
   0.40701 -0.27463
   0.42351 -0.26518
   0.44004 -0.25549
   0.45660 -0.24567
   0.47319 -0.23636
   0.48980 -0.22667
   0.50644 -0.21720
   0.52309 -0.20780
   0.53976 -0.19827
   0.55645 -0.18885
   0.57315 -0.17963
   0.58987 -0.17024
   0.60659 -0.16080
   0.62333 -0.15148
   0.64008 -0.14212
   0.65683 -0.13275
   0.67359 -0.12327
   0.69035 -0.11384
   0.70712 -0.10390
   0.72389 -0.09429
   0.74066 -0.08408
   0.75742 -0.07387
   0.77419 -0.06327
   0.79095 -0.05243
   0.80771 -0.04046
   0.82446 -0.02922
   0.84120 -0.01572
   0.85793 -0.00231
   0.87462  0.01228
   0.89128  0.02868
   0.90784  0.04652
   0.92422  0.06679
   0.94026  0.09045
   0.95567  0.11799
   0.96999  0.15145
   0.98277  0.19576
   0.99372  0.25526
   1.00000  0.41477
