#    alpha        Cl        Cd
-10.000000 -1.007358  0.028185
-9.500000 -0.952820  0.025216
-9.000000 -0.898135  0.022404
-8.500000 -0.842668  0.019722
-8.000000 -0.787201  0.017211
-7.500000 -0.731315  0.014854
-7.000000 -0.675342  0.012667
-6.500000 -0.619089  0.010645
-6.000000 -0.562619  0.008791
-5.500000 -0.505994  0.007111
-5.000000 -0.449292  0.005606
-4.500000 -0.392477  0.004278
-4.000000 -0.335564  0.003127
-3.500000 -0.278507  0.002154
-3.000000 -0.221350  0.001361
-2.500000 -0.164241  0.000749
-2.000000 -0.106938  0.000318
-1.500000 -0.049655  0.000068
-1.000000  0.007574  0.000002
-0.500000  0.064879  0.000117
 0.000000  0.121889  0.000413
 0.500000  0.178991  0.000890
 1.000000  0.235808  0.001544
 1.500000  0.292514  0.002376
 2.000000  0.349128  0.003385
 2.500000  0.405544  0.004568
 3.000000  0.461669  0.005920
 3.500000  0.517925  0.007450
 4.000000  0.574081  0.009153
 4.500000  0.629994  0.011023
 5.000000  0.685826  0.013064
 5.500000  0.741502  0.015271
 6.000000  0.796969  0.017641
 6.500000  0.852198  0.020171
 7.000000  0.906944  0.022846
 7.500000  0.961183  0.025661
 8.000000  1.014049  0.028562
 8.500000  1.065744  0.031547
 9.000000  1.118548  0.034749
 9.500000  1.176459  0.038439
 10.000000  1.234005  0.042294
 10.500000  1.286521  0.045973
 11.000000  1.337737  0.049707
 11.500000  1.388743  0.053569
 12.000000  1.439647  0.057570
 12.500000  1.489113  0.061595
 13.000000  1.537643  0.065675
 13.500000  1.586074  0.069878
 14.000000  1.633424  0.074115
 14.500000  1.678879  0.078301
 15.000000  1.721982  0.082376
 15.500000  1.763121  0.086362
 16.000000  1.802699  0.090289
 16.500000  1.835567  0.093624
 17.000000  1.864019  0.096551
 17.500000  1.890587  0.099328
 18.000000  1.914294  0.101843
 18.500000  1.934185  0.103974
 19.000000  1.951266  0.105824
 19.500000  1.965787  0.107414
 20.000000  1.976279  0.108571
 20.500000  1.983233  0.109341
 21.000000  1.987055  0.109775
 21.500000  1.985491  0.109613
 22.000000  1.977098  0.108705
 22.500000  1.961645  0.107034
 23.000000  1.934953  0.104155
 23.500000  1.898066  0.100250
