#    alpha        Cl        Cd
-10.000000 -1.003988  0.029260
-9.500000 -0.949629  0.026180
-9.000000 -0.895133  0.023259
-8.500000 -0.839851  0.020475
-8.000000 -0.784565  0.017870
-7.500000 -0.728869  0.015422
-7.000000 -0.673082  0.013151
-6.500000 -0.617012  0.011052
-6.000000 -0.560733  0.009128
-5.500000 -0.504301  0.007383
-5.000000 -0.447785  0.005821
-4.500000 -0.391162  0.004442
-4.000000 -0.334439  0.003247
-3.500000 -0.277573  0.002237
-3.000000 -0.220608  0.001413
-2.500000 -0.163691  0.000778
-2.000000 -0.106579  0.000330
-1.500000 -0.049489  0.000071
-1.000000  0.007548  0.000002
-0.500000  0.064661  0.000121
 0.000000  0.121480  0.000428
 0.500000  0.178391  0.000924
 1.000000  0.235018  0.001603
 1.500000  0.291535  0.002467
 2.000000  0.347958  0.003515
 2.500000  0.404185  0.004743
 3.000000  0.460123  0.006146
 3.500000  0.516191  0.007735
 4.000000  0.572160  0.009503
 4.500000  0.627889  0.011444
 5.000000  0.683532  0.013563
 5.500000  0.739021  0.015854
 6.000000  0.794305  0.018314
 6.500000  0.849352  0.020942
 7.000000  0.903916  0.023718
 7.500000  0.957966  0.026642
 8.000000  1.010656  0.029655
 8.500000  1.062218  0.032748
 9.000000  1.114840  0.036063
 9.500000  1.172554  0.039875
 10.000000  1.229864  0.043913
 10.500000  1.282182  0.047768
 11.000000  1.333262  0.051615
 11.500000  1.384137  0.055600
 12.000000  1.434860  0.059750
 12.500000  1.484136  0.063941
 13.000000  1.532533  0.068171
 13.500000  1.580813  0.072518
 14.000000  1.627993  0.076921
 14.500000  1.673269  0.081277
 15.000000  1.716256  0.085510
 15.500000  1.757250  0.089633
 16.000000  1.796715  0.093686
 16.500000  1.829347  0.097211
 17.000000  1.857847  0.100238
 17.500000  1.884343  0.103029
 18.000000  1.908001  0.105567
 18.500000  1.927872  0.107767
 19.000000  1.944904  0.109654
 19.500000  1.959334  0.111246
 20.000000  1.969850  0.112417
 20.500000  1.976797  0.113177
 21.000000  1.980560  0.113573
 21.500000  1.978946  0.113369
 22.000000  1.970487  0.112420
 22.500000  1.954943  0.110628
 23.000000  1.928397  0.107622
 23.500000  1.891298  0.103475
