#    alpha        Cl        Cd
-10.000000 -1.006368  0.033069
-9.500000 -0.951881  0.029585
-9.000000 -0.897238  0.026283
-8.500000 -0.841827  0.023137
-8.000000 -0.786415  0.020191
-7.500000 -0.730582  0.017425
-7.000000 -0.674663  0.014860
-6.500000 -0.618468  0.012488
-6.000000 -0.562054  0.010313
-5.500000 -0.505483  0.008341
-5.000000 -0.448839  0.006577
-4.500000 -0.392080  0.005018
-4.000000 -0.335224  0.003668
-3.500000 -0.278225  0.002527
-3.000000 -0.221126  0.001596
-2.500000 -0.164075  0.000879
-2.000000 -0.106829  0.000373
-1.500000 -0.049605  0.000080
-1.000000  0.007566  0.000002
-0.500000  0.064813  0.000137
 0.000000  0.121766  0.000484
 0.500000  0.178810  0.001044
 1.000000  0.235571  0.001812
 1.500000  0.292218  0.002788
 2.000000  0.348776  0.003971
 2.500000  0.405136  0.005358
 3.000000  0.461208  0.006945
 3.500000  0.517406  0.008740
 4.000000  0.573503  0.010738
 4.500000  0.629360  0.012931
 5.000000  0.685140  0.015325
 5.500000  0.740762  0.017915
 6.000000  0.796173  0.020696
 6.500000  0.851350  0.023664
 7.000000  0.906045  0.026803
 7.500000  0.960243  0.030109
 8.000000  1.013071  0.033516
 8.500000  1.064712  0.037018
 9.000000  1.117461  0.040775
 9.500000  1.175254  0.045086
 10.000000  1.232748  0.049609
 10.500000  1.285285  0.053949
 11.000000  1.336464  0.058336
 11.500000  1.387416  0.062866
 12.000000  1.438279  0.067564
 12.500000  1.487723  0.072299
 13.000000  1.536217  0.077092
 13.500000  1.584605  0.082026
 14.000000  1.631936  0.087010
 14.500000  1.677380  0.091939
 15.000000  1.720485  0.096740
 15.500000  1.761619  0.101439
 16.000000  1.801202  0.106066
 16.500000  1.834199  0.110065
 17.000000  1.862664  0.113519
 17.500000  1.889257  0.116809
 18.000000  1.913015  0.119799
 18.500000  1.932943  0.122332
 19.000000  1.950079  0.124544
 19.500000  1.964633  0.126445
 20.000000  1.975204  0.127845
 20.500000  1.982214  0.128786
 21.000000  1.986127  0.129348
 21.500000  1.984638  0.129208
 22.000000  1.976445  0.128242
 22.500000  1.961069  0.126331
 23.000000  1.934643  0.123066
 23.500000  1.897609  0.119780
