NACA 1412      Re =     0.100 e 6
   alpha    CL  
----------------------------------------------------------------
 -30.000  -0.6332 
 -29.800  -0.6315 
 -29.400  -0.6282 
 -29.200  -0.6247 
 -29.000  -0.6218 
 -28.800  -0.6191 
 -28.600  -0.6165 
 -28.400  -0.6139 
 -28.200  -0.6113 
 -28.000  -0.6088 
 -27.800  -0.6066 
 -27.600  -0.6051 
 -27.200  -0.6009 
 -27.000  -0.5968 
 -26.800  -0.5934 
 -26.600  -0.5903 
 -26.400  -0.5873 
 -26.200  -0.5844 
 -26.000  -0.5816 
 -25.800  -0.5790 
 -25.600  -0.5771 
 -25.400  -0.5766 
 -25.000  -0.5696 
 -24.800  -0.5650 
 -24.600  -0.5612 
 -24.400  -0.5578 
 -24.200  -0.5547 
 -24.000  -0.5518 
 -23.800  -0.5494 
 -23.600  -0.5488 
 -23.400  -0.5507 
 -23.200  -0.5476 
 -23.000  -0.5392 
 -22.800  -0.5342 
 -22.600  -0.5300 
 -22.400  -0.5263 
 -22.200  -0.5231 
 -22.000  -0.5208 
 -21.800  -0.5216 
 -21.600  -0.5262 
 -21.400  -0.5211 
 -21.200  -0.5110 
 -21.000  -0.5053 
 -20.800  -0.5009 
 -20.600  -0.4971 
 -20.400  -0.4939 
 -20.200  -0.4917 
 -20.000  -0.4941 
 -19.800  -0.5025 
 -19.600  -0.4909 
 -19.400  -0.4809 
 -19.200  -0.4754 
 -19.000  -0.4714 
 -18.800  -0.4683 
 -18.600  -0.4669 
 -18.400  -0.4718 
 -18.200  -0.4827 
 -18.000  -0.4735 
 -17.800  -0.4585 
 -17.600  -0.4513 
 -17.400  -0.4470 
 -17.200  -0.4450 
 -17.000  -0.4505 
 -16.800  -0.4659 
 -16.600  -0.4607 
 -16.400  -0.4404 
 -16.200  -0.4330 
 -16.000  -0.4287 
 -15.800  -0.4268 
 -15.600  -0.4332 
 -15.400  -0.4537 
 -15.000  -0.4222 
 -14.800  -0.4169 
 -14.600  -0.4159 
 -14.400  -0.4257 
 -14.200  -0.4535 
 -13.800  -0.4223 
 -13.600  -0.4143 
 -13.400  -0.4153 
 -13.200  -0.4341 
 -13.000  -0.4622 
 -12.800  -0.4239 
