NACA 1412     Re =    15.841 e 6
   alpha    CL   
---------------------------------------------
 -30.000  -1.1141
 -29.800  -1.1095
 -29.600  -1.1046
 -29.400  -1.0996
 -29.200  -1.0950
 -29.000  -1.0903
 -28.800  -1.0856
 -28.600  -1.0808
 -28.400  -1.0862
 -28.200  -1.0818
 -28.000  -1.0776
 -27.400  -1.0737
 -27.200  -1.0792
 -27.000  -1.0746
 -26.800  -1.0699
 -26.600  -1.0658
 -26.200  -1.0676
 -26.000  -1.0648
 -25.800  -1.0761
 -25.600  -1.0761
 -25.400  -1.0907
 -25.200  -1.1095
 -25.000  -1.1306
 -24.800  -1.1551
 -24.200  -1.3591
 -23.800  -1.5524
 -23.600  -1.6308
 -23.400  -1.6969
 -23.200  -1.7412
 -23.000  -1.7827
 -22.800  -1.8142
 -22.600  -1.8387
 -22.400  -1.8550
 -22.200  -1.8712
 -22.000  -1.8831
 -21.800  -1.8888
 -21.600  -1.8935
 -21.400  -1.8977
 -21.200  -1.8985
 -21.000  -1.8990
 -20.800  -1.8976
 -20.600  -1.8950
 -20.400  -1.8922
 -20.200  -1.8880
 -20.000  -1.8825
 -19.800  -1.8765
 -19.600  -1.8699
 -19.400  -1.8625
 -19.200  -1.8543
 -19.000  -1.8459
 -18.800  -1.8371
 -18.600  -1.8279
 -18.400  -1.8185
 -18.200  -1.8067
 -18.000  -1.7927
 -17.800  -1.7778
 -17.600  -1.7624
 -17.400  -1.7465
 -17.200  -1.7302
 -17.000  -1.7135
 -16.800  -1.6964
 -16.600  -1.6794
 -16.400  -1.6622
 -16.200  -1.6448
 -16.000  -1.6271
 -15.800  -1.6092
 -15.600  -1.5912
 -15.400  -1.5730
 -15.200  -1.5545
 -15.000  -1.5358
 -14.800  -1.5169
 -14.600  -1.4979
 -14.400  -1.4791
 -14.200  -1.4607
 -14.000  -1.4417
 -13.800  -1.4194
 -13.600  -1.3970
 -13.400  -1.3745
 -13.200  -1.3520
 -13.000  -1.3294
 -12.800  -1.3066
 -12.600  -1.2836
 -12.400  -1.2625
 -12.200  -1.2420
 -12.000  -1.2214
 -11.800  -1.2005
 -11.600  -1.1798
 -11.400  -1.1594
 -11.200  -1.1380
 -11.000  -1.1172
 -10.800  -1.0961
 -10.600  -1.0750
 -10.400  -1.0538
 -10.200  -1.0324
 -10.000  -1.0106
  -9.800  -0.9889
  -9.600  -0.9668
  -9.400  -0.9450
  -9.200  -0.9230
  -9.000  -0.9011
  -8.800  -0.8788
  -8.600  -0.8566
  -8.400  -0.8343
  -8.200  -0.8120
  -8.000  -0.7898
  -7.800  -0.7675
  -7.600  -0.7450
  -7.400  -0.7225
  -7.200  -0.7001
  -7.000  -0.6776
  -6.800  -0.6550
  -6.600  -0.6324
  -6.400  -0.6099
  -6.200  -0.5872
  -6.000  -0.5645
  -5.800  -0.5419
  -5.600  -0.5191
  -5.400  -0.4963
  -5.200  -0.4737
  -5.000  -0.4508
  -4.800  -0.4281
  -4.600  -0.4052
  -4.400  -0.3824
  -4.200  -0.3596
  -4.000  -0.3367
  -3.800  -0.3138
  -3.600  -0.2909
  -3.400  -0.2680
  -3.200  -0.2451
  -3.000  -0.2221
  -2.800  -0.1992
  -2.600  -0.1763
  -2.400  -0.1533
  -2.200  -0.1303
  -2.000  -0.1073
  -1.800  -0.0844
  -1.400  -0.0383
  -1.200  -0.0152
  -1.000   0.0076
  -0.800   0.0306
  -0.600   0.0536
  -0.400   0.0766
  -0.200   0.0995
  -0.000   0.1223
   0.200   0.1452
   0.400   0.1681
   0.600   0.1911
   0.800   0.2139
   1.000   0.2366
   1.200   0.2595
   1.400   0.2821
   1.600   0.3049
   1.800   0.3276
   2.000   0.3503
   2.200   0.3729
   2.400   0.3956
   2.600   0.4182
   2.800   0.4408
   3.000   0.4632
   3.200   0.4858
   3.400   0.5084
   3.600   0.5309
   3.800   0.5534
   4.000   0.5760
   4.200   0.5984
   4.400   0.6208
   4.600   0.6434
   4.800   0.6657
   5.000   0.6881
   5.200   0.7105
   5.400   0.7328
   5.600   0.7551
   5.800   0.7773
   6.000   0.7996
   6.200   0.8219
   6.400   0.8439
   6.600   0.8661
   6.800   0.8879
   7.000   0.9099
   7.200   0.9319
   7.400   0.9535
   7.600   0.9750
   7.800   0.9963
   8.000   1.0172
   8.200   1.0379
   8.400   1.0585
   8.600   1.0797
   8.800   1.1007
   9.000   1.1221
   9.600   1.1922
   9.800   1.2152
  10.000   1.2382
  10.200   1.2594
  10.400   1.2801
  10.600   1.3009
  10.800   1.3214
  11.000   1.3418
  11.200   1.3622
  11.400   1.3827
  11.600   1.4033
  11.800   1.4237
  12.000   1.4440
  12.200   1.4639
  12.400   1.4837
  12.600   1.5032
  12.800   1.5227
  13.000   1.5421
  13.200   1.5616
  13.400   1.5810
  13.600   1.6003
  13.800   1.6193
  14.000   1.6380
  14.200   1.6564
  14.400   1.6745
  14.600   1.6922
  14.800   1.7094
  15.000   1.7264
  15.200   1.7430
  15.400   1.7594
  15.600   1.7754
  15.800   1.7916
  16.000   1.8069
  16.200   1.8211
  16.400   1.8331
  16.600   1.8447
  16.800   1.8561
  17.000   1.8673
  17.200   1.8783
  17.400   1.8886
  17.600   1.8986
  17.800   1.9083
  18.000   1.9170
  18.200   1.9250
  18.400   1.9328
  18.600   1.9405
  18.800   1.9470
  19.000   1.9534
  19.200   1.9596
  19.400   1.9651
  19.600   1.9699
  19.800   1.9740
  20.000   1.9777
  20.200   1.9805
  20.400   1.9831
  20.600   1.9855
  20.800   1.9871
  21.000   1.9876
  21.200   1.9872
  21.400   1.9863
  21.600   1.9845
  21.800   1.9812
  22.000   1.9761
  22.200   1.9705
  22.400   1.9640
  22.600   1.9554
  22.800   1.9439
  23.000   1.9322
  23.200   1.9198
  23.400   1.9027
  23.600   1.8847
  23.800   1.8667
  24.000   1.8469
  24.200   1.8203
  24.400   1.7969
  24.600   1.7733
  25.000   1.7129
  25.200   1.6864
  25.400   1.6596
  25.600   1.6323
  26.200   1.5351
  26.800   1.4500
  27.000   1.4225
  27.200   1.3756
  27.200   1.3756
  27.400   1.3705
  28.000   1.3218
  28.200   1.3057
  28.400   1.2887
  28.800   1.2724
  29.000   1.2611
  29.200   1.2520
  29.400   1.2529
  29.600   1.2460
  29.800   1.2497
  30.000   1.2532
